label,features
1,"[0.0,29.0,5.0]"
1,"[24.0,220.0,0.0]"
1,"[5.0,92.0,5.0]"
1,"[24.0,10.0,0.0]"
1,"[10.0,6.0,6.0]"
1,"[10.0,20.0,1.0]"
1,"[3.0,7.0,1.0]"
1,"[3.0,7.0,5.0]"
1,"[16.0,199.0,0.0]"
1,"[3.0,49.0,4.0]"
1,"[0.0,127.0,1.0]"
1,"[19.0,261.0,1.0]"
1,"[22.0,7.0,0.0]"
1,"[16.0,24.0,1.0]"
1,"[11.0,186.0,1.0]"
1,"[0.0,24.0,4.0]"
1,"[5.0,21.0,1.0]"
1,"[3.0,114.0,0.0]"
1,"[3.0,143.0,1.0]"
1,"[16.0,13.0,1.0]"
1,"[22.0,15.0,0.0]"
1,"[24.0,246.0,10.0]"
1,"[11.0,5.0,0.0]"
1,"[24.0,19.0,9.0]"
1,"[5.0,10.0,1.0]"
1,"[10.0,144.0,1.0]"
1,"[0.0,21.0,6.0]"
1,"[3.0,13.0,1.0]"
1,"[5.0,249.0,9.0]"
1,"[21.0,36.0,1.0]"
1,"[3.0,65.0,10.0]"
1,"[0.0,151.0,1.0]"
1,"[0.0,154.0,1.0]"
1,"[0.0,171.0,1.0]"
1,"[5.0,35.0,1.0]"
1,"[5.0,256.0,7.0]"
1,"[3.0,8.0,4.0]"
1,"[19.0,35.0,4.0]"
1,"[19.0,9.0,1.0]"
1,"[0.0,8.0,8.0]"
1,"[22.0,6.0,4.0]"
1,"[18.0,69.0,1.0]"
1,"[5.0,253.0,1.0]"
1,"[0.0,142.0,1.0]"
1,"[16.0,14.0,1.0]"
1,"[9.0,166.0,6.0]"
1,"[22.0,213.0,7.0]"
1,"[10.0,9.0,1.0]"
1,"[21.0,64.0,7.0]"
1,"[27.0,278.0,10.0]"
1,"[10.0,23.0,4.0]"
1,"[10.0,263.0,4.0]"
1,"[0.0,54.0,10.0]"
1,"[10.0,45.0,5.0]"
1,"[0.0,5.0,5.0]"
1,"[22.0,91.0,4.0]"
1,"[18.0,83.0,1.0]"
1,"[16.0,59.0,1.0]"
1,"[21.0,149.0,2.0]"
1,"[20.0,221.0,0.0]"
1,"[5.0,30.0,2.0]"
1,"[5.0,51.0,6.0]"
1,"[19.0,31.0,1.0]"
1,"[5.0,14.0,1.0]"
1,"[22.0,94.0,4.0]"
1,"[9.0,80.0,8.0]"
1,"[29.0,10.0,1.0]"
1,"[0.0,8.0,9.0]"
1,"[18.0,11.0,1.0]"
1,"[29.0,9.0,0.0]"
1,"[9.0,17.0,2.0]"
1,"[30.0,109.0,7.0]"
1,"[10.0,9.0,8.0]"
1,"[10.0,15.0,1.0]"
1,"[22.0,5.0,1.0]"
1,"[10.0,60.0,4.0]"
1,"[9.0,5.0,1.0]"
1,"[0.0,57.0,1.0]"
1,"[21.0,18.0,1.0]"
1,"[5.0,242.0,7.0]"
1,"[16.0,244.0,1.0]"
1,"[21.0,22.0,1.0]"
1,"[11.0,159.0,1.0]"
1,"[20.0,23.0,7.0]"
1,"[5.0,60.0,0.0]"
1,"[3.0,27.0,0.0]"
1,"[22.0,6.0,2.0]"
1,"[3.0,35.0,1.0]"
1,"[0.0,240.0,9.0]"
1,"[16.0,170.0,6.0]"
1,"[18.0,184.0,1.0]"
1,"[30.0,7.0,7.0]"
1,"[3.0,130.0,10.0]"
1,"[28.0,138.0,2.0]"
1,"[3.0,30.0,1.0]"
